filename,bucket_genus,bucket_relative_path,plantnet_genus,plantnet_family,plantnet_genus_score,identified_at,notes
PXL_20260205_065650870.jpg,Narcissus,Narcissus/PXL_20260205_065650870.jpg,Narcissus,Amaryllidaceae,,2026-04-27T05:57:05+00:00,
PXL_20260326_205259084.jpg,Trifolium,Trifolium/PXL_20260326_205259084.jpg,Trifolium,Fabaceae,,2026-04-27T05:59:26+00:00,
PXL_20260329_235810394.MP.jpg,Rosa,Rosa/PXL_20260329_235810394.MP.jpg,Rosa,Rosaceae,,2026-04-27T06:02:23+00:00,
PXL_20260330_020829394.jpg,Cistus,Cistus/PXL_20260330_020829394.jpg,Cistus,Cistaceae,,2026-04-27T06:03:23+00:00,
PXL_20260330_020833158.jpg,Argyranthemum,Argyranthemum/PXL_20260330_020833158.jpg,Argyranthemum,Asteraceae,,2026-04-27T06:03:35+00:00,
PXL_20260330_020911671.jpg,Campanula,Campanula/PXL_20260330_020911671.jpg,Campanula,Campanulaceae,,2026-04-27T06:04:12+00:00,
PXL_20260330_021331084.jpg,Syringa,Syringa/PXL_20260330_021331084.jpg,Syringa,Oleaceae,,2026-04-27T06:05:19+00:00,
PXL_20260330_235549151.jpg,Dietes,Dietes/PXL_20260330_235549151.jpg,Dietes,Iridaceae,,2026-04-27T06:05:41+00:00,
PXL_20260330_235644527.jpg,Rhaphiolepis,Rhaphiolepis/PXL_20260330_235644527.jpg,Rhaphiolepis,Rosaceae,,2026-04-27T06:05:46+00:00,
PXL_20260401_021227881.jpg,Amphilophium,Amphilophium/PXL_20260401_021227881.jpg,Amphilophium,Bignoniaceae,,2026-04-27T06:06:10+00:00,
PXL_20260401_175158301.jpg,Phalaenopsis,Phalaenopsis/PXL_20260401_175158301.jpg,Phalaenopsis,Orchidaceae,,2026-04-27T06:06:39+00:00,
PXL_20260401_203910907.jpg,Vinca,Vinca/PXL_20260401_203910907.jpg,Vinca,Apocynaceae,,2026-04-27T06:06:44+00:00,
PXL_20260404_015607794.jpg,Triteleia,Triteleia/PXL_20260404_015607794.jpg,Triteleia,Asparagaceae,,2026-04-27T06:07:28+00:00,
PXL_20260404_020155462.jpg,Vicia,Vicia/PXL_20260404_020155462.jpg,Vicia,Fabaceae,,2026-04-27T06:07:33+00:00,
PXL_20260404_032901728.jpg,Tagetes,Tagetes/PXL_20260404_032901728.jpg,Tagetes,Asteraceae,,2026-04-27T06:07:41+00:00,
PXL_20260405_015340509.jpg,Cistanthe,Cistanthe/PXL_20260405_015340509.jpg,Cistanthe,Montiaceae,,2026-04-27T06:08:46+00:00,
PXL_20260405_172343107.MP.jpg,Bougainvillea,Bougainvillea/PXL_20260405_172343107.MP.jpg,Bougainvillea,Nyctaginaceae,,2026-04-27T06:09:13+00:00,
PXL_20260405_180143059.MP.jpg,Aristea,Aristea/PXL_20260405_180143059.MP.jpg,Aristea,Iridaceae,,2026-04-27T06:10:21+00:00,
PXL_20260405_182855537.jpg,Oxalis,Oxalis/PXL_20260405_182855537.jpg,Oxalis,Oxalidaceae,,2026-04-27T06:10:43+00:00,
PXL_20260405_190320270.jpg,Bougainvillea,Bougainvillea/PXL_20260405_190320270.jpg,Bougainvillea,Nyctaginaceae,,2026-04-27T06:11:01+00:00,
PXL_20260405_201536664.jpg,Anemone,Anemone/PXL_20260405_201536664.jpg,Anemone,Ranunculaceae,,2026-04-27T06:11:10+00:00,
PXL_20260405_201539350.jpg,Ranunculus,Ranunculus/PXL_20260405_201539350.jpg,Ranunculus,Ranunculaceae,,2026-04-27T06:11:16+00:00,
PXL_20260405_223434004.jpg,Dianthus,Dianthus/PXL_20260405_223434004.jpg,Dianthus,Caryophyllaceae,,2026-04-27T06:12:13+00:00,
PXL_20260405_223706358.jpg,Agapanthus,Agapanthus/PXL_20260405_223706358.jpg,Agapanthus,Amaryllidaceae,,2026-04-27T06:12:28+00:00,
PXL_20260415_004823662.jpg,Phalaenopsis,Phalaenopsis/PXL_20260415_004823662.jpg,Phalaenopsis,Orchidaceae,,2026-04-27T06:12:55+00:00,
PXL_20260415_012032852.jpg,Oenothera,Oenothera/PXL_20260415_012032852.jpg,Oenothera,Onagraceae,,2026-04-27T06:13:14+00:00,
PXL_20260415_012754075.jpg,Rosa,Rosa/PXL_20260415_012754075.jpg,Rosa,Rosaceae,,2026-04-27T06:13:53+00:00,
PXL_20260415_013117296.jpg,Prunus,Prunus/PXL_20260415_013117296.jpg,Prunus,Rosaceae,,2026-04-27T06:14:18+00:00,
